zip_code,public_transportation_pct,public_transportation_population,minimo,maximo
24179,1.0,80.0,1.0,24179.0
24230,,,24230.0,24230.0
24523,,1.0,1.0,24523.0
24531,,,24531.0,24531.0
24550,,,24550.0,24550.0
24557,,,24557.0,24557.0
24577,0.6,13.0,0.6,24577.0
24590,0.2,7.0,0.2,24590.0
24598,1.8,15.0,1.8,24598.0
24602,,,24602.0,24602.0
24603,4.8,8.0,4.8,24603.0
24622,,,24622.0,24622.0
24712,,,24712.0,24712.0
24733,3.3,11.0,3.3,24733.0
24818,,,24818.0,24818.0
24822,,,24822.0,24822.0
24844,,,24844.0,24844.0
24851,,,24851.0,24851.0
24504,4.3,165.0,4.3,24504.0
24517,,,24517.0,24517.0
24522,,,24522.0,24522.0
24529,,,24529.0,24529.0
24549,,,24549.0,24549.0
24553,,,24553.0,24553.0
24579,,,24579.0,24579.0
24595,,,24595.0,24595.0
24599,3.5,11.0,3.5,24599.0
24724,,,24724.0,24724.0
24606,,,24606.0,24606.0
24607,,,24607.0,24607.0
24614,,,24614.0,24614.0
24628,,,24628.0,24628.0
24656,1.8,19.0,1.8,24656.0
24715,,,24715.0,24715.0
24726,,,24726.0,24726.0
24731,,,24731.0,24731.0
24736,,,24736.0,24736.0
24813,,,24813.0,24813.0
24862,,,24862.0,24862.0
22948,,,22948.0,22948.0
22963,0.2,17.0,0.2,22963.0
22972,,,22972.0,22972.0
22722,,,22722.0,22722.0
22815,,1.0,1.0,22815.0
22820,,,22820.0,22820.0
22830,,,22830.0,22830.0
22832,,,22832.0,22832.0
22835,0.2,12.0,0.2,22835.0
22844,0.5,11.0,0.5,22844.0
22849,,,22849.0,22849.0
22968,0.8,42.0,0.8,22968.0
22303,33.9,3257.0,33.9,22303.0
22307,10.1,576.0,10.1,22307.0
22427,0.1,4.0,0.1,22427.0
22460,,,22460.0,22460.0
22503,,,22503.0,22503.0
22508,3.4,220.0,3.4,22508.0
22578,,,22578.0,22578.0
22603,0.4,24.0,0.4,22603.0
22630,0.2,37.0,0.2,22630.0
22645,0.5,10.0,0.5,22645.0
22657,0.5,22.0,0.5,22657.0
22664,0.2,6.0,0.2,22664.0
22715,3.7,18.0,3.7,22715.0
22719,,,22719.0,22719.0
22726,,,22726.0,22726.0
22727,,,22727.0,22727.0
22730,,,22730.0,22730.0
22716,,,22716.0,22716.0
22732,,,22732.0,22732.0
22734,,,22734.0,22734.0
22810,,,22810.0,22810.0
22821,,1.0,1.0,22821.0
22850,,,22850.0,22850.0
22851,0.4,11.0,0.4,22851.0
22901,3.3,595.0,3.3,22901.0
22903,7.3,1359.0,7.3,22903.0
22015,7.6,1799.0,7.6,22015.0
22031,14.6,2662.0,14.6,22031.0
22042,7.8,1584.0,7.8,22042.0
22079,7.8,1483.0,7.8,22079.0
22153,8.2,1330.0,8.2,22153.0
22203,28.3,4493.0,28.3,22203.0
22205,18.4,1877.0,18.4,22205.0
22207,11.3,1921.0,11.3,22207.0
22211,5.7,51.0,5.7,22211.0
22407,2.4,686.0,2.4,22407.0
22448,,,22448.0,22448.0
22476,,,22476.0,22476.0
22529,,,22529.0,22529.0
22542,,,22542.0,22542.0
22620,0.6,8.0,0.6,22620.0
22624,,,22624.0,22624.0
22627,4.0,8.0,4.0,22627.0
22644,,,22644.0,22644.0
22701,0.7,108.0,0.7,22701.0
22718,,,22718.0,22718.0
22720,1.3,8.0,1.3,22720.0
22731,,,22731.0,22731.0
22735,2.2,42.0,2.2,22735.0
22736,,,22736.0,22736.0
22742,,,22742.0,22742.0
22743,,,22743.0,22743.0
22713,2.9,24.0,2.9,22713.0
22812,,,22812.0,22812.0
22936,,,22936.0,22936.0
22939,,,22939.0,22939.0
22958,,,22958.0,22958.0
22960,,,22960.0,22960.0
22967,,,22967.0,22967.0
22973,1.0,27.0,1.0,22973.0
22976,,,22976.0,22976.0
22206,18.2,2430.0,18.2,22206.0
22509,,,22509.0,22509.0
22301,24.5,1976.0,24.5,22301.0
22485,1.4,178.0,1.4,22485.0
22654,0.8,6.0,0.8,22654.0
22469,,,22469.0,22469.0
22646,,,22646.0,22646.0
22580,,,22580.0,22580.0
22729,,,22729.0,22729.0
22847,,,22847.0,22847.0
22969,,,22969.0,22969.0
22747,,,22747.0,22747.0
22436,2.2,10.0,2.2,22436.0
22192,6.2,1887.0,6.2,22192.0
22610,,,22610.0,22610.0
22185,,,22185.0,22185.0
22530,,,22530.0,22530.0
22623,5.9,19.0,5.9,22623.0
22904,14.1,122.0,14.1,22904.0
22025,7.4,672.0,7.4,22025.0
22551,1.8,163.0,1.8,22551.0
22035,,,22035.0,22035.0
22964,,,22964.0,22964.0
22556,2.0,301.0,2.0,22556.0
22807,0.9,6.0,0.9,22807.0
22214,,,22214.0,22214.0
22625,1.2,21.0,1.2,22625.0
22637,,,22637.0,22637.0
22650,,,22650.0,22650.0
22655,,4.0,4.0,22655.0
22548,,,22548.0,22548.0
22514,,,22514.0,22514.0
22534,2.9,41.0,2.9,22534.0
22535,,,22535.0,22535.0
22640,,,22640.0,22640.0
22642,,,22642.0,22642.0
22652,,,22652.0,22652.0
22660,,,22660.0,22660.0
22728,1.4,23.0,1.4,22728.0
22733,,,22733.0,22733.0
22737,,,22737.0,22737.0
22811,2.2,7.0,2.2,22811.0
22824,,,22824.0,22824.0
22831,,,22831.0,22831.0
22840,,,22840.0,22840.0
22842,0.4,8.0,0.4,22842.0
22845,,,22845.0,22845.0
22853,,,22853.0,22853.0
22902,4.2,567.0,4.2,22902.0
22911,0.3,22.0,0.3,22911.0
22923,,,22923.0,22923.0
22947,2.2,40.0,2.2,22947.0
22959,,,22959.0,22959.0
22980,0.5,71.0,0.5,22980.0
22039,6.0,541.0,6.0,22039.0
22060,8.3,326.0,8.3,22060.0
22124,11.4,1065.0,11.4,22124.0
22134,2.1,104.0,2.1,22134.0
22304,20.0,6005.0,20.0,22304.0
22310,13.5,2336.0,13.5,22310.0
22315,14.1,2328.0,14.1,22315.0
22432,,,22432.0,22432.0
22480,,,22480.0,22480.0
22520,,,22520.0,22520.0
22576,0.8,7.0,0.8,22576.0
22602,0.1,22.0,0.1,22602.0
22643,,,22643.0,22643.0
22712,0.5,22.0,0.5,22712.0
22714,,,22714.0,22714.0
22443,1.0,35.0,1.0,22443.0
22454,,,22454.0,22454.0
22473,0.9,20.0,0.9,22473.0
22553,2.8,197.0,2.8,22553.0
22560,,,22560.0,22560.0
22639,,,22639.0,22639.0
22663,,,22663.0,22663.0
22546,0.6,41.0,0.6,22546.0
22567,,,22567.0,22567.0
22572,1.2,30.0,1.2,22572.0
22579,,,22579.0,22579.0
22611,,,22611.0,22611.0
22641,,,22641.0,22641.0
22656,0.3,5.0,0.3,22656.0
22709,,,22709.0,22709.0
22724,2.5,28.0,2.5,22724.0
22738,,,22738.0,22738.0
22741,,,22741.0,22741.0
22749,,,22749.0,22749.0
22802,1.1,163.0,1.1,22802.0
22846,,,22846.0,22846.0
22932,0.7,27.0,0.7,22932.0
22935,,,22935.0,22935.0
22003,8.7,2781.0,8.7,22003.0
22032,9.6,1480.0,9.6,22032.0
22033,7.6,1728.0,7.6,22033.0
22044,16.1,1176.0,16.1,22044.0
22150,8.4,1123.0,8.4,22150.0
22152,9.3,1426.0,9.3,22152.0
22172,4.6,223.0,4.6,22172.0
22191,7.3,2682.0,7.3,22191.0
22204,20.0,6686.0,20.0,22204.0
22041,15.1,2068.0,15.1,22041.0
22046,18.9,1877.0,18.9,22046.0
22066,2.7,221.0,2.7,22066.0
22125,6.2,32.0,6.2,22125.0
22193,5.7,2408.0,5.7,22193.0
22209,40.9,3561.0,40.9,22209.0
22213,17.4,312.0,17.4,22213.0
22305,20.7,2245.0,20.7,22305.0
22308,7.4,487.0,7.4,22308.0
22435,,,22435.0,22435.0
22438,,,22438.0,22438.0
22511,,,22511.0,22511.0
22723,,,22723.0,22723.0
22827,,,22827.0,22827.0
22843,,,22843.0,22843.0
22938,,,22938.0,22938.0
22027,7.3,75.0,7.3,22027.0
22151,8.2,780.0,8.2,22151.0
22401,4.4,642.0,4.4,22401.0
22482,0.9,10.0,0.9,22482.0
22504,,,22504.0,22504.0
22538,,,22538.0,22538.0
22539,,,22539.0,22539.0
22026,5.3,419.0,5.3,22026.0
22030,8.4,2603.0,8.4,22030.0
22101,4.5,603.0,4.5,22101.0
22102,10.4,1346.0,10.4,22102.0
22181,17.4,1345.0,17.4,22181.0
22182,8.3,1073.0,8.3,22182.0
22201,35.5,9816.0,35.5,22201.0
22306,16.5,3060.0,16.5,22306.0
22311,17.8,1835.0,17.8,22311.0
22312,13.5,2549.0,13.5,22312.0
22405,7.2,1061.0,7.2,22405.0
22971,,,22971.0,22971.0
22942,0.1,2.0,0.1,22942.0
22946,,,22946.0,22946.0
22949,,,22949.0,22949.0
22989,,,22989.0,22989.0
22043,15.2,2183.0,15.2,22043.0
22180,13.8,1837.0,13.8,22180.0
22202,40.1,6603.0,40.1,22202.0
22940,,,22940.0,22940.0
22952,,,22952.0,22952.0
22974,0.2,5.0,0.2,22974.0
22937,1.5,13.0,1.5,22937.0
22920,,,22920.0,22920.0
22740,,,22740.0,22740.0
22801,2.2,396.0,2.2,22801.0
22834,,,22834.0,22834.0
22841,,,22841.0,22841.0
22922,,,22922.0,22922.0
22406,4.7,562.0,4.7,22406.0
22302,16.4,1945.0,16.4,22302.0
22309,12.0,2213.0,12.0,22309.0
22314,27.4,5938.0,27.4,22314.0
22408,3.0,460.0,3.0,22408.0
22433,,,22433.0,22433.0
22437,,,22437.0,22437.0
22488,,,22488.0,22488.0
22554,3.6,1006.0,3.6,22554.0
22601,0.6,82.0,0.6,22601.0
22711,,,22711.0,22711.0
22931,,,22931.0,22931.0
22943,,,22943.0,22943.0
25501,,,25501.0,25501.0
25507,,,25507.0,25507.0
25515,2.5,17.0,2.5,25515.0
25520,,,25520.0,25520.0
25535,,,25535.0,25535.0
25564,,,25564.0,25564.0
25601,,,25601.0,25601.0
25606,,,25606.0,25606.0
25608,,,25608.0,25608.0
25617,,,25617.0,25617.0
25621,,,25621.0,25621.0
25628,,,25628.0,25628.0
25632,,,25632.0,25632.0
25644,,,25644.0,25644.0
25671,,,25671.0,25671.0
25817,,,25817.0,25817.0
25818,,,25818.0,25818.0
25836,,,25836.0,25836.0
25843,,,25843.0,25843.0
25666,,,25666.0,25666.0
25650,,,25650.0,25650.0
25653,,,25653.0,25653.0
25654,,,25654.0,25654.0
25669,,,25669.0,25669.0
25688,,,25688.0,25688.0
25701,2.2,199.0,2.2,25701.0
25813,,,25813.0,25813.0
25837,,,25837.0,25837.0
25033,,,25033.0,25033.0
25039,2.3,8.0,2.3,25039.0
25051,,,25051.0,25051.0
25002,,,25002.0,25002.0
25022,,,25022.0,25022.0
25030,,,25030.0,25030.0
25057,,,25057.0,25057.0
25067,,,25067.0,25067.0
25108,,,25108.0,25108.0
25109,,,25109.0,25109.0
25110,2.8,2.0,2.0,25110.0
25143,2.6,98.0,2.6,25143.0
25183,,,25183.0,25183.0
25206,,,25206.0,25206.0
25261,,,25261.0,25261.0
25262,,,25262.0,25262.0
25266,,,25266.0,25266.0
25270,,,25270.0,25270.0
25271,,,25271.0,25271.0
25302,2.6,169.0,2.6,25302.0
25312,3.2,189.0,3.2,25312.0
25315,4.8,60.0,4.8,25315.0
25320,,,25320.0,25320.0
25411,,,25411.0,25411.0
25413,0.2,10.0,0.2,25413.0
25428,0.7,40.0,0.7,25428.0
25438,1.4,46.0,1.4,25438.0
25901,,,25901.0,25901.0
25928,,,25928.0,25928.0
25971,,,25971.0,25971.0
25977,,,25977.0,25977.0
25981,,,25981.0,25981.0
25118,,,25118.0,25118.0
25086,0.4,1.0,0.4,25086.0
25111,,,25111.0,25111.0
25114,,,25114.0,25114.0
25148,,,25148.0,25148.0
25149,,,25149.0,25149.0
25154,,,25154.0,25154.0
25160,,,25160.0,25160.0
25168,,,25168.0,25168.0
25181,,,25181.0,25181.0
25186,,,25186.0,25186.0
25205,,,25205.0,25205.0
25211,,,25211.0,25211.0
25301,4.3,41.0,4.3,25301.0
25304,5.6,215.0,5.6,25304.0
25401,,,25401.0,25401.0
25444,,,25444.0,25444.0
25503,,,25503.0,25503.0
25510,,,25510.0,25510.0
25511,,,25511.0,25511.0
25547,,,25547.0,25547.0
25646,,,25646.0,25646.0
25661,,,25661.0,25661.0
25672,,,25672.0,25672.0
25801,0.3,41.0,0.3,25801.0
25825,,,25825.0,25825.0
25839,,,25839.0,25839.0
25853,,,25853.0,25853.0
25560,0.4,15.0,0.4,25560.0
25570,0.4,6.0,0.4,25570.0
25571,,,25571.0,25571.0
25635,,,25635.0,25635.0
25639,,,25639.0,25639.0
25699,,,25699.0,25699.0
25703,3.1,73.0,3.1,25703.0
25812,,,25812.0,25812.0
25125,,,25125.0,25125.0
25136,3.2,20.0,3.2,25136.0
25139,,,25139.0,25139.0
25159,,,25159.0,25159.0
25173,,,25173.0,25173.0
25187,,,25187.0,25187.0
25234,,,25234.0,25234.0
25239,,,25239.0,25239.0
25247,,,25247.0,25247.0
25251,,,25251.0,25251.0
25253,,,25253.0,25253.0
25260,,,25260.0,25260.0
25267,,,25267.0,25267.0
25314,0.1,10.0,0.1,25314.0
